type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,26844,0,34,0,0,0.226379,128,[34 32 2 0 0 0 0 0 0 0 0 0 -17 7 -12 -2 -16 5 -18 3 -17 7 -18 -6 -12 2 -13 -2 -10 -1 -11 -5 -19 -3 -13 3 -21 -8 -16 -6 -16 -12 -17 1 -12 0 -5 -4 -13 -1 -22 -9 -13 -4 -19 -10 -9 -6 -17 -1 -9 -1 -8 -5 0 0 -7 -5 -14 -8 -17 6 -11 -1 -14 3 -14 5 -14 0 -12 -4 -11 0 -13 -4 -20 0 -14 -4 -16 1 -17 -5 -13 -3 -12 1 -12 2 -16 1 -14 -3 -17 -1 -14 7 -8 -4 -11 3 -12 1 -15 5 -13 0 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,45731,0,131,0,0,0.244918,128,[-125 48 8 0 0 0 0 0 0 0 0 0 4 14 2 16 1 14 -1 11 2 15 8 14 0 14 -1 13 0 14 2 13 3 12 1 13 4 16 5 13 -4 10 3 12 -2 11 -2 9 -1 10 -2 13 -2 12 0 11 -2 14 -1 13 2 12 -1 10 0 0 4 11 -3 18 -1 13 3 13 2 13 0 10 2 14 1 13 5 2 3 8 2 16 0 11 6 7 2 11 1 9 5 14 6 10 4 13 6 12 4 10 8 9 9 8 2 10 4 11 6 11 6 10 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-85,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,4049639,0,30,0,0,4.24887,128,[30 -32 1 0 0 0 0 0 0 0 0 0 10 -10 4 -9 14 -6 16 -4 12 -9 10 -5 8 -4 12 -10 15 -4 12 -9 16 -6 14 -8 13 -5 10 -10 13 -3 12 -9 12 -5 7 -10 10 -7 9 -6 5 -8 8 -11 10 -10 11 -8 10 -12 11 -7 0 0 4 -5 13 -13 6 -13 8 -15 5 -7 2 -11 4 -15 5 -16 4 -11 6 -9 5 -16 1 -11 5 -11 5 -5 4 -13 -1 -14 2 -13 2 -16 5 -13 2 -12 6 -13 3 -10 7 -17 7 -16 -1 -14 6 -14 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,6496137,0,131,0,0,6.69572,128,[-125 48 8 0 0 0 0 0 0 0 0 0 -14 -6 -14 -3 -15 1 -13 -1 -16 -1 -11 -5 -13 -6 -13 -4 -10 -8 -17 -10 -19 -10 -13 -7 -14 -6 -13 -6 -15 -8 -13 -7 -12 -13 -5 -7 -12 -4 -12 -11 -12 -8 -7 -5 -12 -7 -17 -2 -15 -7 -13 -7 0 0 -13 -5 -13 -4 -12 -8 -9 -1 -12 -4 -11 -7 -13 -1 -12 -5 -10 -3 -10 0 -9 1 -12 -2 -6 -5 -11 -8 -14 -7 -12 -3 -15 -2 -13 -2 -14 -6 -13 -1 -12 -2 -8 0 -10 -6 -13 -3 -11 2 -9 -4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,0,0,0,0,0,0,0,0,0,-98,0,6,1,8021106,0,37,0,0,8.22081,128,[37 80 2 0 0 0 0 0 0 0 0 0 2 -7 -10 -11 1 -15 5 -7 0 -10 4 -11 3 -8 6 -6 10 -9 10 -6 13 -1 13 2 16 0 9 0 9 5 9 10 2 1 3 8 5 5 8 12 3 4 3 9 -3 7 -2 13 -6 11 -5 7 0 0 -6 5 -5 9 -6 6 -9 7 -7 3 -6 2 -13 1 0 0 -30 25 7 11 -9 -10 -12 -9 -9 -1 -7 -4 -5 -9 -7 -7 -4 -10 -4 -15 -4 -9 -2 -9 -4 -10 -3 -7 -1 -11 -2 -5 7 -2 4 -9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-88,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16119477,0,110,0,0,16.3189,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -7 -1 -16 -3 -12 -3 -10 -2 -17 1 -6 3 -14 5 -9 1 -11 -4 -10 1 -11 6 -12 3 -9 2 -10 2 -13 0 -8 11 -10 -3 -10 3 -13 3 -16 5 -6 4 -12 0 -15 2 -12 1 -9 1 -12 0 0 3 -7 5 -6 2 -11 -2 -15 1 -9 -2 -13 1 -10 -1 -9 2 -12 1 -12 1 -10 3 -10 -2 -7 -4 -9 2 -10 -2 -13 3 -10 1 -8 -3 -15 1 -11 -2 -11 4 -14 0 -13 2 -10 -4 -12 0 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-86,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16130443,0,110,0,0,16.3294,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 7 -2 8 5 9 0 12 -1 8 2 14 0 9 -5 13 -1 7 -4 10 3 12 -2 12 -4 10 -5 11 -5 13 0 12 -1 12 -5 15 -7 12 -8 12 -2 17 -3 8 -8 4 -9 12 -8 14 -4 11 0 0 -9 8 -10 13 -5 10 -5 5 -7 9 -12 12 -8 13 -5 11 -6 13 -8 12 -12 9 -3 5 -5 5 -4 7 -5 6 -9 8 -12 12 -12 7 -9 9 -8 3 -10 9 -11 7 -9 8 -6 7 -11 9 -10 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16142271,0,110,0,0,16.3413,384,[110 96 6 0 0 0 0 0 0 0 0 0 6 5 5 6 10 6 6 10 5 11 9 6 8 12 5 9 5 9 10 8 8 4 3 8 4 9 5 8 7 10 9 5 0 7 7 8 6 8 4 7 4 9 4 7 8 4 2 8 10 12 3 10 0 0 4 10 2 8 11 11 0 5 4 6 3 9 3 14 7 5 7 14 0 9 3 7 5 2 7 9 10 7 8 11 5 9 4 6 6 9 6 10 7 9 10 2 2 9 9 10 9 7 7 10 10 9 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16151911,0,110,0,0,16.3509,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 -1 13 1 6 0 12 -3 5 1 7 4 10 4 9 2 7 2 4 2 8 5 8 -1 14 2 10 12 8 2 7 4 13 6 6 4 6 1 9 2 8 6 9 -2 6 1 12 7 11 2 6 0 0 0 12 10 9 6 9 4 12 1 7 3 6 4 11 5 5 2 8 -1 5 4 7 0 5 -1 8 0 10 1 9 2 8 1 10 -3 6 -1 14 -1 11 3 10 -2 7 0 9 1 9 1 13 -1 8 2 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,AC:0B:FB:26:85:8D,-87,11,1,0,1,1,1,0,0,0,0,-98,0,6,1,16161413,0,110,0,0,16.3604,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -8 -10 -9 -17 -5 -13 -7 -10 -7 -11 -8 -12 -13 -4 -11 -11 -8 -6 -7 -8 -10 -14 -10 -8 -10 -3 -7 -11 -12 -12 -7 -10 -8 -10 -6 -10 -9 -10 -8 -8 -6 -10 -10 -8 -7 -12 -3 -15 -10 -8 -10 0 0 -5 -4 -8 -7 -16 -8 -11 -6 -10 -6 -14 -4 -16 -7 -9 -14 -9 -5 -15 -3 -9 -5 -9 -9 -10 -7 -12 -5 -14 -3 -12 0 -12 -1 -13 1 -13 -2 -11 -4 -9 0 -8 -7 -10 -1 -15 5 -10 -4 -12 0 0 0 0 0 0 0 0 0 0 0 ]
